event,extra,pnl,price,r_multiple,reason,side,sl,symbol,ticket,tp,ts,volume
trade_exec,"{""position"": null, ""balance"": 735.07, ""equity"": 736.23, ""confidence"": null, ""regime"": null, ""rr"": null, ""notes"": ""API Trade (buy_stop): Adjusted to buy stop for breakout continuation above 3989. Strong H4 bullish trend confirmed with ADX 50 and RSI 75. Entry above resistance targets 4005 with 1:1.6 R:R setup.""}",,3989.0,,market,BUY,3979.0,XAUUSDc,118767513,4005.0,1759856163,0.01
equity_snapshot,"{""balance"": 735.07, ""equity"": 736.23}",,,,snapshot,,,,,,1759856163,
trade_exec,"{""position"": null, ""balance"": 737.2, ""equity"": 733.01, ""confidence"": null, ""regime"": null, ""rr"": null, ""notes"": ""API Trade (market): Adjusted to current price 151.48. USDJPY bullish continuation confirmed above EMA20/50/200 with RSI>60 and ADX>30. Targeting 152.48 with 1:2 R:R setup, SL below recent structure su""}",,151.48,,market,BUY,150.98,USDJPYc,118797160,152.48,1759859080,0.01
equity_snapshot,"{""balance"": 737.2, ""equity"": 733.01}",,,,snapshot,,,,,,1759859080,
trade_exec,"{""position"": null, ""balance"": 732.58, ""equity"": 732.5, ""confidence"": null, ""regime"": null, ""rr"": null, ""notes"": ""API Trade (market): Strong multi-timeframe bearish alignment (H4→M5). EMA stack fully bearish, RSI below 30, MACD bearish cross. High-probability continuation sell setup.""}",,1.15945,,market,SELL,1.1605,EURUSDc,120453014,1.1555,1760017448,0.01
equity_snapshot,"{""balance"": 732.58, ""equity"": 732.5}",,,,snapshot,,,,,,1760017448,
trade_exec,"{""position"": null, ""balance"": 731.42, ""equity"": 731.32, ""confidence"": null, ""regime"": null, ""rr"": null, ""notes"": ""API Trade (market): Price currently testing key support zone (4025–4030) aligned with EMA20 and H4 bullish structure. RSI expected to recover above 50 for continuation toward 4050 target.""}",,4026.0,,market,BUY,4012.0,XAUUSDc,120472118,4050.0,1760018031,0.01
equity_snapshot,"{""balance"": 731.42, ""equity"": 731.32}",,,,snapshot,,,,,,1760018031,
trade_exec,"{""position"": null, ""balance"": 708.32, ""equity"": 708.24, ""confidence"": null, ""regime"": null, ""rr"": null, ""notes"": ""API Trade (market): Strong multi-timeframe bearish alignment (H4→M5). EMA stack fully bearish, RSI below 35, MACD bearish crossover confirms continuation. Clean structure with 2:1 R:R ratio.""}",,1.15573,,market,SELL,1.15678,EURUSDc,120628119,1.1522,1760027446,0.01
equity_snapshot,"{""balance"": 708.32, ""equity"": 708.24}",,,,snapshot,,,,,,1760027446,
trade_exec,"{""position"": null, ""balance"": 708.32, ""equity"": 707.9, ""confidence"": null, ""regime"": null, ""rr"": null, ""notes"": ""API Trade (buy_limit): H4 trend bullish with strong ADX; H1 pullback into support near EMA20 zone 176.40–176.60. Expecting continuation after minor correction. R:R ~1:2, aligned with dominant uptrend.""}",,176.5,,market,BUY,175.8,EURJPYc,120758950,178.0,1760031059,0.01
equity_snapshot,"{""balance"": 708.32, ""equity"": 707.9}",,,,snapshot,,,,,,1760031059,
trade_exec,"{""position"": null, ""balance"": 708.32, ""equity"": 707.9, ""confidence"": null, ""regime"": null, ""rr"": null, ""notes"": ""API Trade (buy_limit): Strong bullish structure on H4 and H1. Current price at 152.93 indicates pullback zone near 152.00 is ideal for continuation entry. R:R 1:2 aligned with trend and EMA20 support ""}",,152.1,,market,BUY,151.6,USDJPYc,120761121,153.2,1760031194,0.01
equity_snapshot,"{""balance"": 708.32, ""equity"": 707.9}",,,,snapshot,,,,,,1760031194,
trade_exec,"{""position"": null, ""balance"": 737.99, ""equity"": 731.49, ""confidence"": null, ""regime"": null, ""rr"": null, ""notes"": ""API Trade (sell_limit): Bearish continuation setup during London session. Strong H4 and H1 downtrend alignment. Entry at pullback to EMA20 zone for continuation toward 1.1530 target. DXY rising suppor""}",,1.1615,,market,SELL,1.165,EURUSDc,121121937,1.153,1760085519,0.01
equity_snapshot,"{""balance"": 737.99, ""equity"": 731.49}",,,,snapshot,,,,,,1760085519,
trade_exec,"{""position"": null, ""balance"": 737.99, ""equity"": 731.59, ""confidence"": null, ""regime"": null, ""rr"": null, ""notes"": ""API Trade (sell_limit): Bearish continuation setup aligned with strong USD trend during London session. Entry at retest of broken structure (1.3340) for continuation toward 1.3250 target. DXY rising c""}",,1.334,,market,SELL,1.338,GBPUSDc,121121944,1.325,1760085522,0.01
equity_snapshot,"{""balance"": 737.99, ""equity"": 731.59}",,,,snapshot,,,,,,1760085522,
trade_exec,"{""position"": null, ""balance"": 728.69, ""equity"": 728.69, ""confidence"": null, ""regime"": null, ""rr"": null, ""notes"": ""API Trade (sell_limit): Gold is testing $4000 resistance with bearish macro bias (DXY↑, US10Y↑). RSI > 65 indicates overextension; setup favors short on rally toward $4000. Target $3965 for 2:1 R:R.""}",,4000.0,,market,SELL,4015.0,XAUUSDc,121176709,3965.0,1760090461,0.01
equity_snapshot,"{""balance"": 728.69, ""equity"": 728.69}",,,,snapshot,,,,,,1760090461,
trade_exec,"{""position"": null, ""balance"": 728.69, ""equity"": 729.09, ""confidence"": null, ""regime"": null, ""rr"": null, ""notes"": ""API Trade (buy_limit): Strong bullish trend on H4 (EMA stack alignment and ADX>60). Short-term divergence on H1 suggests temporary pullback, ideal for buy limit near 151.60. Risk:Reward 2:1, aligned w""}",,151.6,,market,BUY,150.9,USDJPYc,121201391,153.0,1760093419,0.01
equity_snapshot,"{""balance"": 728.69, ""equity"": 729.09}",,,,snapshot,,,,,,1760093419,
trade_exec,"{""position"": null, ""balance"": 721.39, ""equity"": 721.39, ""confidence"": null, ""regime"": null, ""rr"": null, ""notes"": ""API Trade (sell_limit): Bearish confluence setup on Silver. Rising DXY and US10Y yields pressure metals. Price rejected 51.00 resistance; expecting continuation lower toward 49.80. Macro and technical""}",,50.9,,market,SELL,51.4,XAGUSDc,121379819,49.8,1760107342,0.01
equity_snapshot,"{""balance"": 721.39, ""equity"": 721.39}",,,,snapshot,,,,,,1760107342,
trade_exec,"{""position"": null, ""balance"": 721.39, ""equity"": 721.39, ""confidence"": null, ""regime"": null, ""rr"": null, ""notes"": ""API Trade (sell_limit): Bearish Gold setup. Rising DXY and US10Y yields pressure XAUUSD. Price rejecting 3995 resistance zone with fading momentum. Expect continuation lower toward 3955. Macro + techn""}",,3995.0,,market,SELL,4015.0,XAUUSDc,121382755,3955.0,1760107876,0.01
equity_snapshot,"{""balance"": 721.39, ""equity"": 721.39}",,,,snapshot,,,,,,1760107876,
trade_exec,"{""position"": null, ""balance"": 721.27, ""equity"": 715.9, ""confidence"": null, ""regime"": null, ""rr"": null, ""notes"": ""API Trade (sell_limit): Re-entry short after mean reversion to VWAP zone; V8 confirms bearish FVG above and RMAG stretch -4.4σ; alignment strong on H4 and H1 timeframes; 1:3.7 R:R; hybrid ATR+VIX exit""}",,113200.0,,market,SELL,114200.0,BTCUSDc,121756646,109500.0,1760205393,0.01
equity_snapshot,"{""balance"": 721.27, ""equity"": 715.9}",,,,snapshot,,,,,,1760205393,
trade_exec,"{""position"": null, ""balance"": 721.27, ""equity"": 714.91, ""confidence"": null, ""regime"": null, ""rr"": null, ""notes"": ""API Trade (market): Mean reversion play: BTCUSD oversold (-4.4σ RMAG, -11σ VWAP). Short-term countertrend bounce expected toward VWAP/EMA20 near 113K. Tight SL below liquidity sweep. 1:3.1 R:R. V8 Int""}",,111100.0,,market,BUY,110400.0,BTCUSDc,121756963,113000.0,1760205525,0.01
equity_snapshot,"{""balance"": 721.27, ""equity"": 714.91}",,,,snapshot,,,,,,1760205525,
trade_exec,"{""position"": null, ""balance"": 700.8, ""equity"": 716.35, ""confidence"": null, ""regime"": null, ""rr"": null, ""notes"": ""API Trade (buy_limit): Strong macro bullish bias (DXY↓ + US10Y↓) with multi-timeframe alignment (H4→M30) and pullback entry near VWAP. Avoiding overextended zone per V8 warnings.""}",,4040.0,,market,BUY,4028.0,XAUUSDc,122116270,4080.0,1760328069,0.01
equity_snapshot,"{""balance"": 700.8, ""equity"": 716.35}",,,,snapshot,,,,,,1760328069,
trade_exec,"{""position"": null, ""balance"": 700.8, ""equity"": 715.68, ""confidence"": null, ""regime"": null, ""rr"": null, ""notes"": ""API Trade (buy_limit): Bullish continuation play with DXY weakness and higher-timeframe structure intact. Price stretched above VWAP (+8.6σ) so buy pullback near VWAP (1.33).""}",,1.33,,market,BUY,1.326,GBPUSDc,122127701,1.339,1760330026,0.01
equity_snapshot,"{""balance"": 700.8, ""equity"": 715.68}",,,,snapshot,,,,,,1760330026,
trade_exec,"{""position"": null, ""balance"": 700.8, ""equity"": 715.7, ""confidence"": null, ""regime"": null, ""rr"": null, ""notes"": ""API Trade (buy_limit): Oversold reversal setup with DXY weakness and 5.8σ stretch below VWAP. Expect mean reversion bounce toward VWAP/FVG zone 151.3.""}",,149.5,,market,BUY,149.1,USDJPYc,122128949,151.3,1760330202,0.01
equity_snapshot,"{""balance"": 700.8, ""equity"": 715.7}",,,,snapshot,,,,,,1760330202,
trade_exec,"{""position"": null, ""balance"": 700.8, ""equity"": 715.49, ""confidence"": null, ""regime"": null, ""rr"": null, ""notes"": ""API Trade (buy_stop): Volatility squeeze forming near VWAP outer zone (-6.7 ATR) with bullish FVG target at 203.4. Strong 2/3 MTF alignment indicates likely breakout continuation above 203.0.""}",,203.0,,market,BUY,202.4,GBPJPYc,122129616,203.9,1760330307,0.01
equity_snapshot,"{""balance"": 700.8, ""equity"": 715.49}",,,,snapshot,,,,,,1760330307,
trade_exec,"{""position"": null, ""balance"": 657.9, ""equity"": 659.26, ""confidence"": null, ""regime"": null, ""rr"": null, ""notes"": ""API Trade (buy_limit): Updated mean reversion entry at VWAP zone 4025–4030 after overextension to 4060. Protects against buying highs, aligns with fair value retracement. Strong macro bullish bias (DX""}",,4028.0,,market,BUY,4012.0,XAUUSDc,122242979,4060.0,1760341399,0.01
equity_snapshot,"{""balance"": 657.9, ""equity"": 659.26}",,,,snapshot,,,,,,1760341399,
trade_exec,"{""position"": null, ""balance"": 657.9, ""equity"": 660.38, ""confidence"": null, ""regime"": null, ""rr"": null, ""notes"": ""API Trade (market): Executing market buy for XAUUSD based on strong MTF bullish alignment (H4→M30) and healthy momentum. Price consolidating near 4073.5 with breakout potential above 4076. ATR and VWA""}",,4073.5,,market,BUY,4056.0,XAUUSDc,122387063,4116.0,1760352925,0.01
equity_snapshot,"{""balance"": 657.9, ""equity"": 660.38}",,,,snapshot,,,,,,1760352925,
trade_exec,"{""position"": null, ""balance"": 660.17, ""equity"": 655.49, ""confidence"": null, ""regime"": null, ""rr"": null, ""notes"": ""API Trade (market): Executing corrected market buy for EURUSD with proper TP above entry (1.165). Strong MTF bullish breakout confirmed with Grade A confluence (85). Trend, momentum, and volume alignm""}",,1.157,,market,BUY,1.152,EURUSDc,122490417,1.165,1760359708,0.01
equity_snapshot,"{""balance"": 660.17, ""equity"": 655.49}",,,,snapshot,,,,,,1760359708,
trade_exec,"{""position"": null, ""balance"": 686.27, ""equity"": 688.32, ""confidence"": null, ""regime"": null, ""rr"": null, ""notes"": ""API Trade (market): Strong multi-timeframe alignment (H4→M5 all bullish). Momentum quality high (RSI 67, ADX 47). Volatility expanding with strong trend continuation. Price stretched but momentum sust""}",,4111.84,,market,BUY,4105.44,XAUUSDc,122712780,4140.0,1760374320,0.01
equity_snapshot,"{""balance"": 686.27, ""equity"": 688.32}",,,,snapshot,,,,,,1760374320,
trade_exec,"{""position"": null, ""balance"": 680.07, ""equity"": 682.04, ""confidence"": null, ""regime"": null, ""rr"": null, ""notes"": ""API Trade (buy_limit): Bullish multi-timeframe alignment (H4→H1). Price currently stretched (+3.4σ) — ideal to buy pullback near liquidity zone 150.10–150.25. FVG target nearby supports continuation. ""}",,150.2,,market,BUY,149.85,USDJPYc,122718334,151.6,1760374876,0.01
equity_snapshot,"{""balance"": 680.07, ""equity"": 682.04}",,,,snapshot,,,,,,1760374876,
trade_exec,"{""position"": null, ""balance"": 680.07, ""equity"": 681.7, ""confidence"": null, ""regime"": null, ""rr"": null, ""notes"": ""API Trade (buy_limit): Adjusted for live price (0.8041). Long-term bullish structure remains intact; setting buy limit slightly below current price to capture pullback near liquidity pocket zone. V8 e""}",,0.803,,market,BUY,0.8,USDCHFc,122719518,0.81,1760375015,0.01
equity_snapshot,"{""balance"": 680.07, ""equity"": 681.7}",,,,snapshot,,,,,,1760375015,
trade_exec,"{""position"": null, ""balance"": 680.07, ""equity"": 681.75, ""confidence"": null, ""regime"": null, ""rr"": null, ""notes"": ""API Trade (sell_limit): Bearish higher timeframe structure (H4 downtrend confirmed) with active pullback (H1). Entry at 0.6600 aligns with liquidity and FVG zone, anticipating trend continuation. V8 e""}",,0.66,,market,SELL,0.663,AUDUSDc,122720440,0.653,1760375105,0.01
equity_snapshot,"{""balance"": 680.07, ""equity"": 681.75}",,,,snapshot,,,,,,1760375105,
trade_exec,"{""position"": null, ""balance"": 680.07, ""equity"": 681.45, ""confidence"": null, ""regime"": null, ""rr"": null, ""notes"": ""API Trade (market): Strong multi-timeframe bullish alignment (H4→M5). Momentum quality high (ADX 58, RSI 64). Volatility expanding with strong continuation trend. Minor liquidity risk near equal highs""}",,1.4032,,market,BUY,1.4029,USDCADc,122721126,1.408,1760375174,0.01
equity_snapshot,"{""balance"": 680.07, ""equity"": 681.45}",,,,snapshot,,,,,,1760375174,
trade_exec,"{""position"": null, ""balance"": 680.07, ""equity"": 681.62, ""confidence"": null, ""regime"": null, ""rr"": null, ""notes"": ""API Trade (sell_limit): H4 bearish alignment intact, H1 showing pullback likely to fade. Enter short at 0.5905 (FVG fill zone) targeting 0.5820 for trend continuation. V8 exits active for breakeven an""}",,0.5905,,market,SELL,0.5935,NZDUSDc,122721864,0.582,1760375282,0.01
equity_snapshot,"{""balance"": 680.07, ""equity"": 681.62}",,,,snapshot,,,,,,1760375282,
trade_exec,"{""position"": null, ""balance"": 680.07, ""equity"": 681.31, ""confidence"": null, ""regime"": null, ""rr"": null, ""notes"": ""API Trade (sell_limit): Bearish multi-timeframe alignment (H4→H1→M30). Price currently overstretched (-3.1σ) and likely to pull back before continuation. Sell from reversion zone 0.8685–0.8695 targeti""}",,0.869,,market,SELL,0.8705,EURGBPc,122724846,0.862,1760375579,0.01
equity_snapshot,"{""balance"": 680.07, ""equity"": 681.31}",,,,snapshot,,,,,,1760375579,
trade_exec,"{""position"": null, ""balance"": 680.07, ""equity"": 681.58, ""confidence"": null, ""regime"": null, ""rr"": null, ""notes"": ""API Trade (buy_limit): Strong bullish multi-timeframe alignment (H4→M5, score 93/100). Quality momentum and expanding volatility confirm continuation phase. Slight mean reversion expected before next ""}",,4100.0,,market,BUY,4098.0,XAUUSDc,122725319,4140.0,1760375669,0.01
equity_snapshot,"{""balance"": 680.07, ""equity"": 681.58}",,,,snapshot,,,,,,1760375669,
trade_exec,"{""position"": null, ""balance"": 680.07, ""equity"": 681.47, ""confidence"": null, ""regime"": null, ""rr"": null, ""notes"": ""API Trade (market): Executing immediate market buy based on strong bullish multi-timeframe alignment (H4→M5). Momentum strong with ADX 46 and expanding volatility. V8 exits enabled for breakeven, part""}",,4104.6,,market,BUY,4098.0,XAUUSDc,122725881,4140.0,1760375707,0.01
equity_snapshot,"{""balance"": 680.07, ""equity"": 681.47}",,,,snapshot,,,,,,1760375707,
trade_exec,"{""position"": null, ""balance"": 680.07, ""equity"": 680.24, ""confidence"": null, ""regime"": null, ""rr"": null, ""notes"": ""API Trade (sell_limit): Adjusted entry for current price 114,616. BTCUSD macro bearish with mean reversion bias and FVG zone overhead. Entry at 114,800 aligns with liquidity and volatility expansion s""}",,114800.0,,market,SELL,115300.0,BTCUSDc,122727773,113200.0,1760375950,0.01
equity_snapshot,"{""balance"": 680.07, ""equity"": 680.24}",,,,snapshot,,,,,,1760375950,
trade_exec,"{""position"": null, ""balance"": 671.91, ""equity"": 673.38, ""confidence"": null, ""regime"": null, ""rr"": null, ""notes"": ""API Trade (sell_limit): Bearish structure intact on H4 and H1; liquidity sweep expected near 0.5790 with Fair Value Gap fill at 0.576–0.578 before continuation lower. Ideal institutional entry zone fo""}",,0.577,,market,SELL,0.5805,NZDUSDc,122790020,0.568,1760382533,0.01
equity_snapshot,"{""balance"": 671.91, ""equity"": 673.38}",,,,snapshot,,,,,,1760382533,
trade_exec,"{""position"": null, ""balance"": 671.91, ""equity"": 673.45, ""confidence"": null, ""regime"": null, ""rr"": null, ""notes"": ""API Trade (buy_limit): BTCUSD in consolidation with liquidity below 114k; expecting liquidity sweep and bullish BOS from institutional absorption. Entry at 114.3k aligns with OB + VWAP mean zone; targ""}",,114300.0,,market,BUY,113700.0,BTCUSDc,122793312,117200.0,1760382763,0.01
equity_snapshot,"{""balance"": 671.91, ""equity"": 673.45}",,,,snapshot,,,,,,1760382763,
trade_exec,"{""position"": null, ""balance"": 671.91, ""equity"": 673.67, ""confidence"": null, ""regime"": null, ""rr"": null, ""notes"": ""API Trade (buy_limit): Bullish structure intact across H4-H1; expecting liquidity sweep above 4105 and retracement into 4080 order block before continuation higher toward 4108 liquidity zone. Entry al""}",,4080.0,,market,BUY,4068.0,XAUUSDc,122798238,4108.0,1760383180,0.01
equity_snapshot,"{""balance"": 671.91, ""equity"": 673.67}",,,,snapshot,,,,,,1760383180,
trade_exec,"{""position"": null, ""balance"": 673.63, ""equity"": 673.63, ""confidence"": null, ""regime"": null, ""rr"": null, ""notes"": ""API Trade (buy_limit): Retrying USDJPY Buy Limit 151.50/151.10/152.90 placement after risk engine bug.""}",,151.5,,market,BUY,151.1,USDJPYc,122817569,152.9,1760385215,0.03
equity_snapshot,"{""balance"": 673.63, ""equity"": 673.63}",,,,snapshot,,,,,,1760385215,
trade_exec,"{""position"": null, ""balance"": 673.63, ""equity"": 673.63, ""confidence"": null, ""regime"": null, ""rr"": null, ""notes"": ""API Trade (buy_limit): Bullish Order Block entry on XAGUSD. Macro (DXY↓, US10Y↓) aligns with institutional buy bias. Structure BOS Bull confirmed, no CHOCH present. Targeting liquidity pool above 52.6""}",,51.6,,market,BUY,51.3,XAGUSDc,122822003,52.65,1760385527,0.01
equity_snapshot,"{""balance"": 673.63, ""equity"": 673.63}",,,,snapshot,,,,,,1760385527,
trade_exec,"{""position"": null, ""balance"": 667.63, ""equity"": 666.81, ""confidence"": null, ""regime"": null, ""rr"": null, ""notes"": ""API Trade (buy_limit): Institutional buy limit based on bullish structure, confirmed BOS, and confluence with FVG + OB zone at 4140. DXY and US10Y falling confirming macro bullish bias. Target liquidi""}",,4140.0,,market,BUY,4118.0,XAUUSDc,123095494,4188.0,1760420374,0.01
equity_snapshot,"{""balance"": 667.63, ""equity"": 666.81}",,,,snapshot,,,,,,1760420374,
trade_exec,"{""position"": null, ""balance"": 671.97, ""equity"": 672.59, ""confidence"": null, ""regime"": null, ""rr"": null, ""notes"": ""API Trade (buy_limit): Bullish structure intact with H4 BOS confirmation and H1 pullback ending at institutional OB zone 4080. DXY and US10Y declining, macro bias bullish. Targeting PDH liquidity 4123""}",,4080.0,,market,BUY,4065.0,XAUUSDc,123168738,4123.0,1760423772,0.01
equity_snapshot,"{""balance"": 671.97, ""equity"": 672.59}",,,,snapshot,,,,,,1760423772,
trade_exec,"{""position"": null, ""balance"": 671.97, ""equity"": 672.16, ""confidence"": null, ""regime"": null, ""rr"": null, ""notes"": ""API Trade (buy_limit): Mean reversion buy setup within Asian session range. Price at Bullish Order Block 151.6-151.8 zone, near equal lows. DXY bearish. Expect bounce toward 152.6 liquidity pool (PDH)""}",,151.7,,market,BUY,151.45,USDJPYc,123184146,152.6,1760424624,0.04
equity_snapshot,"{""balance"": 671.97, ""equity"": 672.16}",,,,snapshot,,,,,,1760424624,
trade_exec,"{""position"": null, ""balance"": 671.97, ""equity"": 672.08, ""confidence"": null, ""regime"": null, ""rr"": null, ""notes"": ""API Trade (buy_limit): Adjusted mean reversion buy setup within Asian session range. Live mid-price 0.64664; entry adjusted to 0.6466 within valid order block (0.6465–0.6472). Targeting 0.6504 Bear OB""}",,0.6466,,market,BUY,0.6454,AUDUSDc,123186360,0.6504,1760424748,0.01
equity_snapshot,"{""balance"": 671.97, ""equity"": 672.08}",,,,snapshot,,,,,,1760424748,
trade_exec,"{""position"": null, ""balance"": 671.97, ""equity"": 671.96, ""confidence"": null, ""regime"": null, ""rr"": null, ""notes"": ""API Trade (buy_limit): Mean reversion buy setup after -14σ stretch from EMA200. Bullish order block 86.40–86.55 with equal lows at 86.35. Targeting 87.20 Bear FVG zone for intraday reversal during Asi""}",,86.45,,market,BUY,86.25,NZDJPYc,123187917,87.2,1760424824,0.01
equity_snapshot,"{""balance"": 671.97, ""equity"": 671.96}",,,,snapshot,,,,,,1760424824,
trade_exec,"{""position"": null, ""balance"": 671.97, ""equity"": 672.28, ""confidence"": null, ""regime"": null, ""rr"": null, ""notes"": ""API Trade (buy_limit): Mean reversion buy setup at Bullish Order Block 98.05–98.25 with equal lows. DXY bearish supports JPY softness. Target 98.70 Bear FVG for intraday bounce.""}",,98.15,,market,BUY,97.95,AUDJPYc,123188845,98.7,1760424895,0.01
equity_snapshot,"{""balance"": 671.97, ""equity"": 672.28}",,,,snapshot,,,,,,1760424895,
trade_exec,"{""position"": null, ""balance"": 671.97, ""equity"": 671.82, ""confidence"": null, ""regime"": null, ""rr"": null, ""notes"": ""API Trade (buy_limit): London breakout setup — liquidity sweep below 1.0615 followed by expected reversal. Bullish OB at 1.0615–1.0625, target FVG at 1.0668.""}",,1.062,,market,BUY,1.0605,EURUSDc,123193071,1.0668,1760425227,0.04
equity_snapshot,"{""balance"": 671.97, ""equity"": 671.82}",,,,snapshot,,,,,,1760425227,
trade_exec,"{""position"": null, ""balance"": 671.97, ""equity"": 670.92, ""confidence"": null, ""regime"": null, ""rr"": null, ""notes"": ""API Trade (sell_limit): London continuation short setup. Price rebased around 1.3276; bearish OB 1.3290–1.3300 aligned with Bear FVG and DXY firming. Target 1.3245 liquidity sweep zone.""}",,1.329,,market,SELL,1.331,GBPUSDc,123195715,1.3245,1760425408,0.04
equity_snapshot,"{""balance"": 671.97, ""equity"": 670.92}",,,,snapshot,,,,,,1760425408,
trade_exec,"{""position"": null, ""balance"": 671.97, ""equity"": 670.45, ""confidence"": null, ""regime"": null, ""rr"": null, ""notes"": ""API Trade (buy_limit): London continuation buy setup within strong H4 bullish structure. Pullback into 4038–4044 Bullish Order Block expected before continuation to PDH 4078 liquidity pool. DXY, US10Y""}",,4042.0,,market,BUY,4030.0,XAUUSDc,123196341,4078.0,1760425464,0.01
equity_snapshot,"{""balance"": 671.97, ""equity"": 670.45}",,,,snapshot,,,,,,1760425464,
